docno,text,education,company,title,period,qid,score
0,Analyzed performance on computer cache and improved it by using machine learning algorithms,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Software Engineering"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Master of Science - MS"", ""major"": ""Communication engineering"", ""period"": ""2012 \u2013 2014""}, {""school"": ""National Sun Yat-Sen University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science and Engineering"", ""period"": ""2008 \u2013 2012""}]",MediaTek Internship,Software Development Intern,May 2021 – Aug 2021,1,-1
1,"• Utilized perceptron learning algorithm on cache reuse prediction and constructed a cache predictor in Python, which improved the prediction accuracy in the cache and reduced the cache miss rate.","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Software Engineering"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Master of Science - MS"", ""major"": ""Communication engineering"", ""period"": ""2012 \u2013 2014""}, {""school"": ""National Sun Yat-Sen University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science and Engineering"", ""period"": ""2008 \u2013 2012""}]",MediaTek Internship,Software Development Intern,May 2021 – Aug 2021,1,-1
2,• Reduced 24% of cache miss rate compared to LRU cache and improved 6% of the cache access performance over LRU cache.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Software Engineering"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Master of Science - MS"", ""major"": ""Communication engineering"", ""period"": ""2012 \u2013 2014""}, {""school"": ""National Sun Yat-Sen University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science and Engineering"", ""period"": ""2008 \u2013 2012""}]",MediaTek Internship,Software Development Intern,May 2021 – Aug 2021,1,-1
3,"Cooperated with hardware engineers and customers, building software architectures and embedded systems","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Software Engineering"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Master of Science - MS"", ""major"": ""Communication engineering"", ""period"": ""2012 \u2013 2014""}, {""school"": ""National Sun Yat-Sen University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science and Engineering"", ""period"": ""2008 \u2013 2012""}]","Aslent Technology Co., Ltd Full-time",Software Engineer,Mar 2020 – Nov 2020,1,-1
4,"• Engineered a wafer auto-storage system to arrange the wafer and monitor the status automatically in Python, which minimized labor cost by 20% and risks of operation by 30%.","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Software Engineering"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Master of Science - MS"", ""major"": ""Communication engineering"", ""period"": ""2012 \u2013 2014""}, {""school"": ""National Sun Yat-Sen University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science and Engineering"", ""period"": ""2008 \u2013 2012""}]","Aslent Technology Co., Ltd Full-time",Software Engineer,Mar 2020 – Nov 2020,1,-1
5,• Built a controller in C++ integrating different types of readers into one device to reduce hardware cost by 30%.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Software Engineering"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Master of Science - MS"", ""major"": ""Communication engineering"", ""period"": ""2012 \u2013 2014""}, {""school"": ""National Sun Yat-Sen University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science and Engineering"", ""period"": ""2008 \u2013 2012""}]","Aslent Technology Co., Ltd Full-time",Software Engineer,Mar 2020 – Nov 2020,1,-1
6,Constructed and maintained automated production systems,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Software Engineering"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Master of Science - MS"", ""major"": ""Communication engineering"", ""period"": ""2012 \u2013 2014""}, {""school"": ""National Sun Yat-Sen University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science and Engineering"", ""period"": ""2008 \u2013 2012""}]",TSMC Full-time,Backend Software Engineer,Sep 2014 – Oct 2018,1,-1
7,"• Built and Boosted backend services on semiconductor process automated systems by using C++, which achieved full process automation and conserved labor cost by 10% while improving process yield by 23%.","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Software Engineering"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Master of Science - MS"", ""major"": ""Communication engineering"", ""period"": ""2012 \u2013 2014""}, {""school"": ""National Sun Yat-Sen University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science and Engineering"", ""period"": ""2008 \u2013 2012""}]",TSMC Full-time,Backend Software Engineer,Sep 2014 – Oct 2018,1,-1
8,"• Established a report auto-generation system in Python, which reduced labor costs by 12%.","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Software Engineering"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Master of Science - MS"", ""major"": ""Communication engineering"", ""period"": ""2012 \u2013 2014""}, {""school"": ""National Sun Yat-Sen University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science and Engineering"", ""period"": ""2008 \u2013 2012""}]",TSMC Full-time,Backend Software Engineer,Sep 2014 – Oct 2018,1,-1
9,"• Built learning ability assessment platform, helping 1K daily active users improve academic performance","[{""school"": ""University of Illinois Urbana-Champaign"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science"", ""period"": ""2015 \u2013 2018""}]",QSticker Full-time,"Co-founder, Full Stack Engineer",Aug 2020 – Jul 2021,1,-1
10,"• Established persistent task scheduler and web-based file system by Java, and Morphia/MongoDB","[{""school"": ""University of Illinois Urbana-Champaign"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science"", ""period"": ""2015 \u2013 2018""}]",QSticker Full-time,"Co-founder, Full Stack Engineer",Aug 2020 – Jul 2021,1,1
11,"• Enabled multi-chatbot messaging by designing abstraction layer above Line, Messenger, and WeChat chatbot SDKs","[{""school"": ""University of Illinois Urbana-Champaign"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science"", ""period"": ""2015 \u2013 2018""}]",QSticker Full-time,"Co-founder, Full Stack Engineer",Aug 2020 – Jul 2021,1,-1
12,• Tuned production environment for Tomcat and MongoDB Docker containers running on Google Cloud Engine,"[{""school"": ""University of Illinois Urbana-Champaign"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science"", ""period"": ""2015 \u2013 2018""}]",QSticker Full-time,"Co-founder, Full Stack Engineer",Aug 2020 – Jul 2021,1,1
13,• Developed cloud photo storage that compresses and resizes uploaded photos using PHP and MySQL,"[{""school"": ""University of Illinois Urbana-Champaign"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science"", ""period"": ""2015 \u2013 2018""}]",Artiv Phototile Full-time,Full Stack Engineer,Oct 2019 – Jun 2020,1,2
14,• Reduced request response time by 50% through tuning compression algorithm based on OpenCV and C++,"[{""school"": ""University of Illinois Urbana-Champaign"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science"", ""period"": ""2015 \u2013 2018""}]",Artiv Phototile Full-time,Full Stack Engineer,Oct 2019 – Jun 2020,1,-1
15,"• Utilized OAuth2 authorization to import user’s photos on Google, Facebook and Instagram Photo API","[{""school"": ""University of Illinois Urbana-Champaign"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science"", ""period"": ""2015 \u2013 2018""}]",Artiv Phototile Full-time,Full Stack Engineer,Oct 2019 – Jun 2020,1,-1
16,Designed and developed a cloud-based server-less web application providing Json schema observations in time series by Java 8 and TypeScript.,"[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",Amazon Internship,Software Development Engineer,May 2021 – Aug 2021,1,1
17,"- Implemented a Json schema watch service using AWS ECS to save observations such as frequency of Json field type, statistics including min, max, average in AWS Timestream database.","[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",Amazon Internship,Software Development Engineer,May 2021 – Aug 2021,1,1
18,- Built a Java library to integrate data stream handler with Json schema watch service and process data by converting raw data notification from AWS SQS to schema observations in cache.,"[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",Amazon Internship,Software Development Engineer,May 2021 – Aug 2021,1,1
19,- Developed a front-end webpage to display schema observations in time series charts by React.,"[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",Amazon Internship,Software Development Engineer,May 2021 – Aug 2021,1,1
20,Impact: It helps Alexa scientists to create downstream transformation processes to gracefully handle the data field structure. Data consumer could have access to the evolution of their data’s schema over time. It allows customers to root cause issues without having to manually search logs and pull individual data objects out of Datamart just to figure out what happened to a certain field.,"[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",Amazon Internship,Software Development Engineer,May 2021 – Aug 2021,1,1
21,"Designed and developed a cloud-based server-less log system with web display providing developers with cleaned and classified patient log data by Java 11, HTML/CSS and JavaScript.","[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",PhAST Internship,Software Engineer,Jan 2021 – Apr 2021,1,-1
22,"- Retrieved logs from AWS Cloudwatch by AWS Lambda, processed the logs by splitting and rearranging, adding sources and priorities as prefixes. And stored them in AWS DynamoDB. Reduced query cost by building two databases to save log batch and log instance respectively.","[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",PhAST Internship,Software Engineer,Jan 2021 – Apr 2021,1,1
23,- Integrated querying through AWS Lambda API and rendering the results on webpage.,"[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",PhAST Internship,Software Engineer,Jan 2021 – Apr 2021,1,-1
24,"Built schema of services using AWS Cloudformation including log system, AWS Dashboard and Warning service, cross-account IAM role config, S3 Storage buckets and pipelines.","[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",PhAST Internship,Software Engineer,Jan 2021 – Apr 2021,1,1
25,"Solved the interface flickering problem in some events of the microscope C# GUI, by freezing the window and unfreezing asynchronously.","[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",PhAST Internship,Software Engineer,Jan 2021 – Apr 2021,1,-1
26,"Redesigned and developed perceptual algorithms for obstacle detection and tracking on intelligent industry truck based on OpenCV and C++. Analyzed radar point cloud data by methods of re-sampling, clustering and filtering. Quantified test results of model based on scikit-learning. Improved the tracking accuracy by 7%, meanwhile decreasing the false positive rate by 12%.","[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",Tsinghua University Internship,Perceptual Algorithm Engineer,Jul 2019 – Aug 2019,1,-1
